spec_id,scope,dv,formula,n,aic,aicc,bic,logLik,converged,delta_aicc,akaike_weight,aicc_rank
fe8d4c48604cc8b2d517675ca4ab9bc0,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTRASTATE + TERRORISM + (1 | Continent) + (1 | Country),3221,3534.062,3534.096858,3576.60413,-1760.031,True,6.063354,0.002058,54
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,55
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,56
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,57
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,58
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,59
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,60
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,61
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,62
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,63
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,64
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,65
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,66
1b11ddf5c034568bbee64e6254ac3112,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3534.237996,3534.272854,3576.780126,-1760.118998,True,6.23935,0.001885,67
